position,club,matches,wins,draws,losses,goals_for,goals_against,goal_difference,points
1,Arsenal,31,21,7,3,61,22,39,70
2,Man City,30,18,7,5,60,28,32,61
3,Man Utd,31,15,10,6,56,43,13,55
4,Aston Villa,30,15,6,9,40,37,3,51
5,Liverpool,31,14,7,10,50,42,8,49
6,Chelsea,31,13,9,9,53,38,15,48
7,Brentford,31,13,7,11,46,42,4,46
8,Everton,31,13,7,11,37,35,2,46
9,Fulham,31,13,5,13,43,44,-1,44
10,Brighton,31,11,10,10,41,37,4,43
11,Newcastle,30,12,6,12,43,43,0,42
12,Bournemouth,31,9,15,7,46,48,-2,42
13,Sunderland,30,10,10,10,30,35,-5,40
14,Crystal Palace,30,10,9,11,33,35,-2,39
15,Leeds,31,7,12,12,37,48,-11,33
16,Tottenham,30,7,9,14,40,47,-7,30
17,Nott'm Forest,30,7,8,15,28,43,-15,29
18,West Ham,30,7,8,15,36,55,-19,29
19,Burnley,31,4,8,19,33,61,-28,20
20,Wolves,31,3,8,20,24,54,-30,17
